Jeff > Toby > Tony > Derrick > Marc > Corky > Bill > Ryan > Colin > Kevin > Nick > Rob,,,,,,,,,,,,,,,,,,,,,,,,Defensive Draft,,,RULE CHANGES 2026
,Kevin,,,,,,Corky,,,,,,Ryan,,,,,,Toby,,,,,Colin,49ers,,Get rid of 4th & 7th place payouts
,QB,Patrick Mahomes,$7,,,,WR,Mike Evans,$24,,,,WR,Jerry Jeudy,$18,,,,WR,Jordan Addison,$5,,,,,,
,RB,Tyjae Spears,$1,,,,WR,Brandon Aiyuk,$8,,,,RB,Quinshon Judkins,$17,,,,TE,Dallas Goedert,$4,,,,,,
,WR,Darnell Mooney,$1,,,,RB,Nick Chubb,$4,,,,RB,Najee Harris,$1,,,,WR,Cedric Tillman,$1,,,,,,
,TE,Jonnu Smith,$1,,,,WR,Keenan Allen,$5,,,,WR,Khalil Shakir,$2,,,,WR,Jauan Jennings,$2,,, ,,,
,WR,Jayden Higgins,$1,,,,RB,Rhamondre Stevenson,$1,,,,QB,JJ F'ing McCarthy,$1,,,,WR,Raschad Bateman,$1,,,,,,
,QB,Trevor Lawrence,$1,,,,WR,Chris Olave,$2,,,,RB,Braelon Allen,$2,,,,WR,Jayden Reed,$2,,,,,,
,RB,Dylan Sampson,$1,,,,QB,Caleb Williams,$1,,,,TE,Brenton Strange,$1,,,,QB,Michael Penix,$1,,,,,,
,DEF,,,,,,DEF,,,,,,DEF,,,,,,DEF,,,,,,,,
,,Total,$206,,,,,Total,$198,,,,,Total,$200,,,,,Total,$203,,,,,,
,,Remaining,$0,,,,,Remaining,$4,,,,,Remaining,$0,,,,,Remaining,$0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Colin,,,,,,Jason,,,,,,Nick,,,,,,Tony,,,,,,,,
,Pos,Player,$,,,,Pos,Player,$,,,,Pos,Player,$,,,,Pos,Player,$,,,,,,
,QB,Brock Purdy,$2,Needs,0,,QB,Jordan Love,$3,Needs,0,,QB,Tua Tagovailoa,$10,Needs,0,,QB,Bo F'ing Nix,$3,Needs,0,,,,
,RB,Ashton Jeanty,$60,Max Bid,$1,,RB,Jaylen Warren,$15,Max Bid,$1,,RB,Kenneth Walker,$46,Max Bid,$7,,RB,Josh Jacobs,$49,Max Bid,$1,,,,
,RB,James Connor,$29,QB,2,,RB,Omarion Hampton,$50,QB,1,,RB,Austin Ekler,$4,QB,2,,RB,Alvin Kamara,$20,QB,2,,,,
,WR,Ladd McConkey,$8,RB,5,,WR,Nico Collins,$5,RB,5,,WR,Justin Jefferson,$72,RB,4,,WR,Josh Downs,$10,RB,4,,,,
,WR,Tyreek Hill,$45,WR,6,,WR,George Pickens,$15,WR,5,,WR,Ricky Pearsall,$17,WR,5,,WR,AJ Brown,$47,WR,6,,,,
,TE,George Kittle,$25,TE,1,,TE,Sam LaPorta,$4,TE,3,,TE,Mark Andrews,$10,TE,3,,TE,TJ hockenson,$14,TE,2,,,,
,K,Jake Moody,$1,K,1,,K,Tyler Loop,$10,K,1,,K,Dicker,$1,K,1,,K,Tyler Bass,$1,K,1,,,,
,WR,DK Metcalf,$19,,,,WR,Marvin Harrison,$37,,,,WR,Rome Odunze,$17,,,,RB,RJ Harvey,$37,,,,,,
,WR,Cooper Kupp,$5,,,,RB,Treveyon Henderson,$40,,,,QB,Jared Goff,$6,,,,WR,Calvin Ridley,$12,,,,,,
,QB,CJ Stroud,$1,,,,WR,Wandale Robinson,$1,,,,WR,Christian Kirk,$1,,,,WR,Chris Godwin,$6,,,,,,
,RB,Tuten,$1,,,,RB,Jaydon Blue,$5,,,,RB,Travis Etienne,$4,,,,WR,Rashid Shaheed,$1,,,,,,
,RB,Trey Benson,$1,,,,RB,Brian Robinson,$1,,,,TE,Cade Otton,$1,,,,RB,Tyler Algeair,$1,,,,,,
,WR,Luther Burden,$1,,,,WR,Matthew Golden,$8,,,,WR,Adam Thielen,$3,,,,QB,Justin Fields,$1,,,,,,
,RB,Isaac Guerrendo,$1,,,,TE,Hunter Henry,$1,,,,RB,Roschon Johnson,$1,,,,WR,Marvin Mims,$1,,,,,,
,WR,Jordan Watkins,$1,,,,TE,Kyle Pitts,$5,,,,TE,Zach Ertz,$1,,,,TE,Darren Waller,$1,,,,,,
,DEF,,,,,,DEF,,,,,,DEF,,,,,,DEF,,,,,,,,
,,Total,$200,,,,,Total,$200,,,,,Total,$194,,,,,Total,$204,,,,,,
,,Remaining,$0,,,,,Remaining,$0,,,,,Remaining,$6,,,,,Remaining,$0,,,,,,
